tram_coel_id;tram_id;elem_id;coel_id;tram_coel_kini;tram_coel_kfin;tram_coel_alto;tram_coel_lado;tram_coel_long;tram_coel_anch;tram_coel_cant;tram_coel_stot;tram_coel_obsv;tram_coel_esta;audi_freg;audi_fact;user_id
83;1;1;36;8112.76;8113.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
84;1;1;33;8220;8220.4;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
85;1;1;33;8286.76;8287.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
86;1;1;21;8392.76;8393.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
87;1;1;21;8492.76;8493.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
88;1;1;21;8552.76;8553.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
89;1;1;21;8602.76;8603.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
90;1;1;16;8652.76;8653.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
91;1;1;21;8662.76;8663.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
92;1;1;7;8686.76;8687.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
93;1;1;21;8722.76;8723.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
94;1;1;21;8772.76;8773.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
